['sure'], 6306
['using'], 6295
['know'], 6274
['And'], 6247
['c'], 6233
['found'], 6200
['social'], 6162
['d'], 6120
['local'], 6117
['possible'], 6110
['lead'], 6103
['number'], 6083
['ant'], 6080
['story'], 6054
['seen'], 6044
['address'], 6038
['security'], 6015
['change'], 6008
['media'], 5986
['growth'], 5980
['school'], 5973
['become'], 5940
['ary'], 5934
['area'], 5934
['needs'], 5919
['St'], 5909
['per'], 5907
['service'], 5905
['ized'], 5904
['available'], 5885
['ated'], 5884
['e'], 5874
['am'], 5861
['it'], 5806
['financial'], 5805
['report'], 5791
['go'], 5790
['understand'], 5764
['economic'], 5760
['second'], 5760
['-'], 5746
['percent'], 5745
['V'], 5744
['rights'], 5731
['past'], 5725
['Trump'], 5721
['much'], 5718
['because'], 5675
['Ch'], 5671
['music'], 5670
['strong'], 5668
['hope'], 5667
['project'], 5659
['ll'], 5652
['me'], 5639
['day'], 5632
['P'], 5632
['others'], 5630
['le'], 5619
['without'], 5617
['recent'], 5607
['as'], 5607
['process'], 5595
['case'], 5585
['American'], 5568
['access'], 5559
['us'], 5558
['This'], 5556
['ie'], 5556
['at'], 5548
['States'], 5501
['features'], 5498
['concerns'], 5469
['While'], 5464
['O'], 5455
['f'], 5450
['opportunity'], 5448
['”'], 5442
['ions'], 5436
['same'], 5431
['z'], 5425
['police'], 5415
['history'], 5406
['open'], 5405
['success'], 5388
['trying'], 5374
['players'], 5348
['ment'], 5346
['group'], 5346
['://'], 5295
['G'], 5294
['money'], 5291
['major'], 5277
['note'], 5265
['p'], 5265
['water'], 5260
['human'], 5247
['worth'], 5218
['due'], 5218
['J'], 5215
['care'], 5208
['N'], 5202
['increase'], 5200
['ion'], 5191
['women'], 5170
['R'], 5165
['win'], 5154
['F'], 5149
['improve'], 5148
['each'], 5132
['then'], 5128
['free'], 5126
['countries'], 5099
['focus'], 5094
['won'], 5072
['efforts'], 5062
['say'], 5056
['w'], 5053
['education'], 5038
['man'], 5036
['dis'], 5027
['games'], 5001
['hear'], 4985
['b'], 4972
['www'], 4956
['taking'], 4939
['interesting'], 4937
['am'], 4917
['four'], 4912
['City'], 4909
['led'], 4906
['move'], 4891
['include'], 4883
['does'], 4843
['performance'], 4837
['includes'], 4816
['top'], 4785
['id'], 4780
['You'], 4769
['known'], 4756
['President'], 4752
['cost'], 4738
['offer'], 4733
['tax'], 4726
['already'], 4721
['action'], 4719
['K'], 4687
['g'], 4685
['region'], 4685
['whether'], 4684
['deal'], 4675
['safety'], 4674
['share'], 4669
['called'], 4663
['importance'], 4659
['points'], 4659
['ates'], 4655
['t'], 4654
['based'], 4651
['too'], 4647
['providing'], 4628
['economy'], 4627
['unique'], 4627
['als'], 4625
['n'], 4612
['plan'], 4598
['plans'], 4593
['military'], 4592
['real'], 4584
['ability'], 4581
['space'], 4565
['ine'], 4555
['H'], 4549
['hard'], 4521
['ics'], 4516
['members'], 4515
['big'], 4508
['face'], 4503
['forward'], 4498
['remember'], 4495
['ities'], 4493
['something'], 4479
['As'], 4477
['fact'], 4474
['campaign'], 4474
['left'], 4472
['announced'], 4470
['York'], 4457
